0.51556,-0.04650
1.25281,0.59321
1.24366,0.90347
0.70074,-0.69968
0.71317,1.22843
0.82784,-1.43140
1.12776,-0.37463
0.87215,-0.90110
0.62609,-0.47158
1.01825,-0.16766
0.75016,-0.00558
1.81784,-0.25696
1.92645,-0.85723
0.55812,-0.85008
1.54866,-0.80308
1.35914,0.68726
1.84701,-0.25224
1.50035,0.25169
1.32176,-0.01699
1.55364,-0.20986
1.07972,0.70430
1.54166,0.16865
1.73731,-0.59211
1.19850,1.41239
1.91079,-0.82547
1.70561,-1.08369
1.97504,0.34480
0.75445,-0.02421
1.28163,-0.95054
1.91828,-1.17207
1.47431,0.11873
1.79125,-0.63210
1.95627,-1.19084
0.77831,-0.02820
0.86467,0.39628
1.81010,-1.38609
1.85942,0.00032
1.63742,-1.24937
1.02035,0.87395
1.19530,0.77411
1.41581,-0.71318
1.24442,-1.19742
1.21696,1.25158
1.15333,0.05238
1.80561,-1.09938
0.78104,-1.16237
1.53151,1.02492
1.55529,0.13822
1.88780,-0.71695
0.55918,0.22748
1.47068,-0.55844
1.45708,0.87487
1.19255,-0.02073
0.57959,1.39547
0.55786,0.06094
0.75430,1.20906
1.69182,-0.75059
0.74391,0.06446
0.70811,0.01724
1.02938,0.93921
