0.43052,0.18194,0.45547
0.71197,0.29631,0.18291
0.57536,0.24895,-0.44687
0.68939,0.29096,-0.19115
0.79120,0.24636,0.09259
0.61540,0.43517,-0.26488
0.60045,0.40746,0.46497
0.42882,0.22560,0.44505
0.50738,0.32905,0.34840
0.59995,0.21042,-0.02768
0.67169,0.28114,0.34148
0.72150,0.24119,-0.36889
0.55238,0.36296,-0.19127
0.42637,0.24814,-0.03700
0.51526,0.28364,0.24185
0.76384,0.38773,-0.01417
0.48535,0.26520,-0.36312
0.58085,0.46257,-0.15646
0.77248,0.17218,-0.17557
0.40996,0.39645,-0.19958
0.64022,0.26895,-0.33450
0.78005,0.27058,-0.08510
0.49212,0.35375,-0.05188
0.61940,0.30916,0.27490
0.76365,0.26595,0.29639
0.45327,0.10057,0.02239
0.60937,0.13690,-0.03937
0.70016,0.38376,0.27821
0.66761,0.30974,0.38729
0.58710,0.37846,0.17492
