0.28760,0.44377,0.44708,0.46056,0.50160,0.58636,0.72045,0.89568,0.99659,1.00000
0.24608,0.41957,0.42899,0.43147,0.44690,0.48767,0.56581,0.71048,0.92524,1.00000
0.30442,0.45531,0.45854,0.47086,0.50883,0.58751,0.71299,0.88308,0.99453,1.00000
0.22351,0.43335,0.44568,0.44824,0.46553,0.51219,0.60160,0.76101,0.95948,1.00000
0.38378,0.40051,0.41520,0.45374,0.51727,0.61582,0.74484,0.89486,0.99201,1.00000
0.36394,0.36872,0.38967,0.42725,0.48122,0.55979,0.66294,0.80023,0.94846,0.99995
0.42284,0.46151,0.47396,0.51588,0.58937,0.70274,0.83864,0.96006,0.99945,1.00000
0.39768,0.45475,0.45910,0.48296,0.53190,0.61676,0.73724,0.88833,0.99195,1.00000
0.19946,0.41953,0.45342,0.45770,0.45818,0.46421,0.48390,0.53496,0.66933,0.97105
0.41642,0.42465,0.44254,0.48100,0.53965,0.62649,0.73800,0.87308,0.98229,1.00000
0.29074,0.44833,0.46032,0.46098,0.46773,0.48938,0.53461,0.62668,0.81104,0.99835
0.30825,0.43179,0.43659,0.44000,0.45564,0.49317,0.56193,0.68755,0.89100,0.99993
0.34803,0.40970,0.41087,0.41764,0.43664,0.47533,0.54068,0.65557,0.84994,0.99920
0.39362,0.43981,0.44163,0.45431,0.48261,0.53461,0.61586,0.74494,0.92090,0.99994
0.33277,0.41998,0.42168,0.43023,0.45512,0.50641,0.59253,0.73646,0.93126,0.99999
0.40307,0.44193,0.46168,0.52056,0.61908,0.76074,0.90411,0.98905,0.99999,1.00000
0.42661,0.46526,0.47556,0.51222,0.57779,0.68127,0.81148,0.94232,0.99841,1.00000
0.41155,0.42034,0.44153,0.48619,0.55363,0.65190,0.77334,0.90726,0.99220,1.00000
0.43070,0.44138,0.45853,0.49765,0.55836,0.64850,0.76269,0.89491,0.98891,1.00000
0.42380,0.43952,0.46020,0.50945,0.58660,0.69878,0.82978,0.95090,0.99867,1.00000
0.42988,0.43648,0.45882,0.50222,0.56548,0.65579,0.76701,0.89400,0.98707,1.00000
0.37997,0.40036,0.40572,0.42497,0.46013,0.51912,0.60639,0.73967,0.91680,0.99989
0.41025,0.43957,0.45163,0.48966,0.55557,0.65889,0.79060,0.92941,0.99728,1.00000
0.36287,0.43103,0.43449,0.43540,0.44103,0.45585,0.48442,0.54107,0.66533,0.94289
0.29602,0.42596,0.43151,0.43450,0.44935,0.48591,0.55383,0.67955,0.88673,0.99993
0.36211,0.40756,0.41026,0.42659,0.46139,0.52427,0.62122,0.76995,0.94739,1.00000
0.18700,0.42772,0.45247,0.45344,0.45960,0.48408,0.53956,0.65630,0.87336,0.99996
