0.56681,0.13934,-0.39767
0.68813,0.26844,-0.08594
0.40005,0.48316,0.19440
0.52093,0.31327,-0.08582
0.45870,0.37675,-0.45005
0.43694,0.22621,0.03590
0.47450,0.37460,0.16379
0.53822,0.43385,0.01489
0.55871,0.10732,0.44459
0.61553,0.40006,0.08656
0.56768,0.49554,0.40340
0.67409,0.39927,-0.36253
0.48178,0.21218,-0.36072
0.75125,0.41571,0.30739
0.41096,0.14129,-0.10232
0.66819,0.27916,-0.33465
0.56692,0.46344,0.42751
0.62348,0.21745,-0.15223
0.45615,0.21511,0.25081
0.47924,0.15201,0.22600
0.72030,0.10775,0.38331
0.78730,0.37153,0.12367
0.52537,0.18465,0.25094
0.67693,0.20622,-0.15110
0.75056,0.29663,-0.23007
0.75784,0.12135,0.39589
0.43402,0.32965,-0.07191
0.41562,0.15869,0.46484
0.46793,0.33572,0.16344
0.75126,0.37990,0.12170
