0.57440,0.28711,0.30026
0.41037,0.18070,0.10182
0.61986,0.35616,0.26496
0.57413,0.29323,-0.33077
0.56815,0.30209,-0.20698
0.53213,0.25476,0.02407
0.48186,0.41745,-0.14338
0.64771,0.33200,-0.45432
0.51986,0.16492,0.48315
0.50673,0.38030,-0.05865
0.64845,0.48582,0.00400
0.61166,0.30000,-0.17646
0.45383,0.45581,-0.24026
0.60543,0.23665,-0.11311
0.47378,0.32686,0.33202
0.71413,0.27102,0.23675
0.74159,0.27470,-0.12079
0.59769,0.41062,-0.48698
0.73862,0.31424,0.29740
0.43186,0.48150,-0.23061
0.60210,0.31768,0.08268
0.42611,0.13284,-0.47445
0.57125,0.24654,0.16220
0.43861,0.44034,-0.11248
0.45086,0.26251,-0.00293
0.63870,0.11088,-0.08509
0.49040,0.19887,-0.14913
0.44278,0.12686,0.05098
0.48812,0.49754,0.47291
0.53993,0.48823,-0.38722
